No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
16,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,2.330290409,2.330290409,2.330290409,2.330290409,2.330290409,2.422001811,2.453874294,2.482126074,2.509138154,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,2.811642869,
17,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,2.330290409,2.330290409,2.330290409,2.330290409,2.330290409,2.422001811,2.453874294,2.482126074,2.509138154,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,2.811642869,
18,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,2.330290409,2.330290409,2.330290409,2.330290409,2.330290409,2.422001811,2.453874294,2.482126074,2.509138154,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,2.811642869,
19,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,2.330290409,2.330290409,2.330290409,2.330290409,2.330290409,2.422001811,2.453874294,2.482126074,2.509138154,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,2.811642869,
20,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,2.316027154,2.35491928,2.393982782,2.429612219,2.464051773,2.497450717,2.530740538,2.560744566,2.592136509,2.626679365,2.661344235,2.697605038,2.736261921,2.778366064,2.818420321,2.856121628,2.896318736,2.939731306,2.98734798,3.040680212,3.109248562,3.205145214,0.0,
21,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,2.316027154,2.35491928,2.393982782,2.429612219,2.464051773,2.497450717,2.530740538,2.560744566,2.592136509,2.626679365,2.661344235,2.697605038,2.736261921,2.778366064,2.818420321,2.856121628,2.896318736,2.939731306,2.98734798,3.040680212,3.109248562,3.205145214,0.0,
22,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.246440159,2.414060404,2.46965941,2.525835749,2.579889949,2.655071247,2.758666625,2.879666496,0.0,0.0,0.0,0.0,
23,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,2.048806948,2.065691608,2.082687166,2.103699852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,2.048806948,2.065691608,2.082687166,2.103699852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,2.048806948,2.065691608,2.082687166,2.103699852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,2.048806948,2.065691608,2.082687166,2.103699852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,2.261929554,2.261929554,2.50344196,2.579790278,2.638084916,2.687699137,2.738999756,2.797475249,2.860956214,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,2.261929554,2.261929554,2.50344196,2.579790278,2.638084916,2.687699137,2.738999756,2.797475249,2.860956214,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,2.261929554,2.261929554,2.50344196,2.579790278,2.638084916,2.687699137,2.738999756,2.797475249,2.860956214,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,2.261929554,2.261929554,2.50344196,2.579790278,2.638084916,2.687699137,2.738999756,2.797475249,2.860956214,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,2.261929554,2.261929554,2.50344196,2.579790278,2.638084916,2.687699137,2.738999756,2.797475249,2.860956214,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,1.951068187,2.174861778,2.229530185,2.27090672,2.306283523,2.342243223,2.380570946,2.423708229,2.476293362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,1.951068187,2.174861778,2.229530185,2.27090672,2.306283523,2.342243223,2.380570946,2.423708229,2.476293362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,2.362256869,2.362256869,2.390780951,2.405335509,2.41867615,2.443187441,2.480601,2.516411297,2.548204543,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523,0.0,
35,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,2.362256869,2.362256869,2.390780951,2.405335509,2.41867615,2.443187441,2.480601,2.516411297,2.548204543,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523,0.0,
36,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,2.12466551,2.12466551,2.12466551,2.12466551,2.321849362,2.366648446,2.396775303,2.421304307,2.443857336,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,0.0,
37,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,2.12466551,2.12466551,2.12466551,2.12466551,2.321849362,2.366648446,2.396775303,2.421304307,2.443857336,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,0.0,
38,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,2.12466551,2.12466551,2.12466551,2.12466551,2.321849362,2.366648446,2.396775303,2.421304307,2.443857336,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,0.0,
39,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,2.059612097,2.059612097,2.059612097,2.200072667,2.249049556,2.294103354,2.325846076,2.348372805,2.376419504,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,0.0,
40,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,2.059612097,2.059612097,2.059612097,2.200072667,2.249049556,2.294103354,2.325846076,2.348372805,2.376419504,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,0.0,
41,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,2.059612097,2.059612097,2.059612097,2.200072667,2.249049556,2.294103354,2.325846076,2.348372805,2.376419504,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,0.0,
42,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,2.315775144,
43,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,2.315775144,
44,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,2.315775144,
45,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,2.456818991,2.562983509,2.623978349,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,
46,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,2.456818991,2.562983509,2.623978349,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,
47,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
48,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
49,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
50,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
51,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
52,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.127797273,2.392800839,2.436720035,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,0.0,
53,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
54,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
55,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
56,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
57,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Lushan,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
58,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
59,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Pingdingshan,,,1,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
60,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
61,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
62,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Shaan,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
63,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xin'an,,,0.85,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
64,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xingyang,,,1,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
65,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xinmi,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
66,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Yanshi,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
67,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Yuzhou,,,0.8,,,,,,2.000556002,2.014997309,2.030747514,2.0471827,2.064352617,2.081388287,2.098456195,2.111401991,2.12309345,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,2.359971889,
68,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
69,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
70,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
71,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
72,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Jiyuan,,,1,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
73,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Lushan,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
74,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
75,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Qinyang,,,1,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
