,nan_1,nan_1,Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,nan_1,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,nan_1,2018_1,2019_1,2020_1,2021_1,2022_1,2023_1,2024_1,2025_1,2026_1,2027_1,2028_1,2029_1,2030_1,2031_1
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Ruzhou,Henan,Ruzhou,,19.636484127966565,14.81961992533812,16.150311229055685,17.509085942133424,17.62935425884869,15.211337237444909,12.769668018415166,12.909527094766265,13.061787175293864,13.181594910803017,10.623216199365446,10.688821423790401,10.759771293676314,10.83748095291578,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Sanmenxia,Henan,Sanmenxia,,22.485193784027675,16.96953607658745,18.493273810685995,20.049169078560173,20.186884995004203,17.418080714918876,14.62219295881146,14.782341711190753,14.956690509780351,15.093879027449468,12.164350465985862,12.239473190340517,12.320715920094985,12.409699097302434,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Shaan,Henan,Shaan,,69.88886348783339,52.745001964401304,57.48110962318075,62.31716987786566,62.74522084228722,54.139176072823396,45.44894998045593,45.94672706880523,46.48864098339874,46.91505267793731,37.80944195105638,38.0429396863966,38.29545972708322,38.572038758791756,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Xin'an,Henan,Xin'an,,200.5335860095493,151.3423435458131,164.9317568678322,178.8079662756307,180.036181911234,155.3426766393999,130.40762812713479,131.8359103967049,133.39083539016724,134.61434743421574,108.48742705316923,109.15740701644384,109.88196808055355,110.67556211364607,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1,Xingyang,Henan,Xingyang,,200.00901587228074,150.94645138875268,164.50031654872282,178.34022757270108,179.56523035375278,154.93632012411513,130.0664985001791,131.49104456654698,133.04190207568664,134.26221356917566,108.20363786037791,108.87186524201122,109.59453094732136,110.3860490402227,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Xinmi,Henan,Xinmi,,464.6758555465403,350.6900483204858,382.17939824655787,414.33331124746866,417.17932902746503,359.95960879523363,302.18018525278757,305.48979686838425,309.09286464384104,311.92798327485514,251.38675762559654,252.93923329228534,254.61818413069932,256.4570979686354,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Yanshi,Henan,Yanshi,,1069.710646074146,807.3087372259821,879.7990386948513,953.8192027284682,960.3708999639479,828.6478005879104,695.6362318790403,703.2551488882107,711.5496189191523,718.0762256844465,578.7068290816941,582.2807176937348,586.1457594527351,590.3790452715981,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Yuzhou,Henan,Yuzhou,,123.92554566948165,93.52639066614971,101.92436277032955,110.49956883383422,111.25858030852393,95.99851252537195,80.58917609117331,81.47182454497445,82.43273554309903,83.18884029696639,67.04295207288554,67.45698562301848,67.90474914746062,68.39517359728995,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.5,Baofeng,Henan,Baofeng,,17.859685073254713,7.98588384147053,8.017664532308196,8.050669300477187,12.136563912361172,12.212561016618837,12.314272395326128,12.47884157734116,12.658686253146113,12.800276590295491,12.926796924398815,13.049499091654237,13.184751283524578,13.336490773599506,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.3,Dengfeng,Henan,Dengfeng,,66.24494611942839,29.621151919775752,29.739032506333906,29.861453426975643,45.016808479638456,45.29869609726061,45.67596281694579,46.28638100465673,46.95345888479282,47.4786441955651,47.947932017904044,48.403057538048,48.904733470531426,49.46756390695699,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.85,Gongyi,Henan,Gongyi,,448.03323668518107,200.33619689319036,201.1334565157249,201.96142369701312,304.46136029770463,306.36784568418284,308.91940681322995,313.0478370164726,317.55947268479446,321.1114489249231,324.28537470033837,327.36351683544575,330.75649252588386,334.5630733582098,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Jiaxian,Henan,Jiaxian,,7.589030248705056,3.3934032871790296,3.40690770358405,3.4209322612936974,5.157131845744587,5.189424930457996,5.232644658380467,5.302574250934539,5.378994785739839,5.439160088047442,5.4929217662992205,5.5450610092401575,5.602533073898497,5.667011007041125,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Jiyuan,Henan,Jiyuan,,17.531495294959416,7.839135148160755,7.870331836658103,7.9027301088276625,11.913542274335242,11.988142854931093,12.08798518417356,12.249530241007314,12.426070088981433,12.565058560467042,12.68925395545588,12.809701346274721,12.942468142311833,13.091419265772116,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Lushan,Henan,Lushan,,12.70404266232936,5.680559797237214,5.703166201022273,5.726643321764288,8.6330428047478,8.687101454200063,8.759451313060495,8.876513506522937,9.004441542468005,9.105158306304617,9.195155398387042,9.28243653247084,9.378644814344046,9.486580925622892,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Mianchi,Henan,Mianchi,,123.83545501583222,55.37250825844844,55.59286916036005,55.82171756766035,84.15248691404179,84.67943551067337,85.38468170123284,86.52577122508643,87.77277794268149,88.75453678976194,89.63180327448305,90.48259536018779,91.42040678594657,92.4725378129062,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Qinyang,Henan,Qinyang,,24.567417034478,10.985218267712263,11.028935135185025,11.07433581836662,16.694808770568997,16.799348830824968,16.939260920405747,17.165638916938324,17.413029569898228,17.60779833802227,17.781837118577954,17.950623707010717,18.136673852289142,18.345403587330907,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.5,Ruzhou,Henan,Ruzhou,,3.551292193447915,1.5879455224250398,1.594264923848483,1.6008277257716048,2.4132835769760512,2.428395149322814,2.448619852261666,2.4813434556720813,2.517104500203361,2.545258896931176,2.5704167131508133,2.5948153095933613,2.6217094038153883,2.6518818992614497,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Sanmenxia,Henan,Sanmenxia,,15.588197377926962,6.970197573330122,6.997936230509821,7.026743280495345,10.59297255129227,10.659303948316365,10.748079144539988,10.891717561513866,11.04868865547874,11.17227079666649,11.282699616224868,11.389795883266062,11.507845997477169,11.640286469501847,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Shaan,Henan,Shaan,,48.45150139704877,21.664887175480615,21.751104943610585,21.840643508511935,32.92525825305479,33.13143063448306,33.4073632160106,33.85382259755105,34.34172283348883,34.72584295599172,35.069079699496356,35.401958146334145,35.76888352807972,36.180537265824654,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.85,Xin'an,Henan,Xin'an,,156.22641634093705,69.85599179104535,70.13399128644758,70.42269831750978,106.1637917434675,106.8285713967349,107.718284968467,109.15784302567315,110.73102245654007,111.96957458501393,113.07630285654544,114.14963196559492,115.33274158659282,116.66007276038303,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Xingyang,Henan,Xingyang,,36.17197722567041,16.17414905445917,16.238515834751258,16.305361790749394,24.58069734349569,24.734617500158574,24.940617866856034,25.273926807046102,25.638173852315497,25.924942763958395,26.18118975963601,26.42970366014985,26.7036356574941,27.010960078765365,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Xinmi,Henan,Xinmi,,24.92635752920205,11.145717015876578,11.190072605524175,11.236136612149956,16.938727083634692,17.044794518986475,17.186750784175192,17.416436260283508,17.667441396737498,17.865055820059606,18.041637381808208,18.212890014655404,18.401658432314516,18.613437798265963,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Yanshi,Henan,Yanshi,,60.1872521015987,26.91247925420881,27.019580384131526,27.130806662433425,40.90029744893639,41.15640817284816,41.49917616493467,42.053775353300296,42.65985305273367,43.137013387991864,43.56338771729395,43.97689480007414,44.43269554549626,44.94405859055826,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.5,Baofeng,Henan,Baofeng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.3,Dengfeng,Henan,Dengfeng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.85,Gongyi,Henan,Gongyi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Jiaxian,Henan,Jiaxian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Jiyuan,Henan,Jiyuan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Lushan,Henan,Lushan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Mianchi,Henan,Mianchi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Qinyang,Henan,Qinyang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.5,Ruzhou,Henan,Ruzhou,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Sanmenxia,Henan,Sanmenxia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Shaan,Henan,Shaan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Xingyang,Henan,Xingyang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Xinmi,Henan,Xinmi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Yanshi,Henan,Yanshi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Hubin,Henan,Hubin,,89.69348479870658,91.12869367259297,68.9660844194731,65.38329388807233,66.88695242146697,68.88702627305264,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Mianchi,Henan,Mianchi,,699.3086782330694,710.4984990192539,537.7043990043244,509.77063640693274,521.49413520801,537.0880103334982,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Ruzhou,Henan,Ruzhou,,26.73923985367143,27.167101413572826,20.560029273022923,19.491935023149722,19.940202656776535,20.53646061868568,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Sanmenxia,Henan,Sanmenxia,,306.18362521730137,311.08294936483327,235.42719732639074,223.19674607610855,228.32973451865755,235.15731919724573,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Shaan,Henan,Shaan,,3426.066629641192,3480.8880165058267,2634.3318128049973,2497.4781817059898,2554.914174244356,2631.311989482709,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Xin'an,Henan,Xin'an,,117.62973555605991,119.51195967391921,90.44650557179057,85.74780639974651,87.71979975073263,90.3428236948085,0,0,0,0,0,0,0,0,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0.7,Mianchi,Henan,Mianchi,,4852.969762703711,3449.4760280485334,3851.051528821331,3953.4857281704644,4080.5789349455627,0,0,0,0,0,0,0,0,0,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Ruzhou,Henan,Ruzhou,,30.92690597853927,21.98274994716783,24.541902046390042,25.194692607049262,26.004629583506883,0,0,0,0,0,0,0,0,0,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,1,Sanmenxia,Henan,Sanmenxia,,254.97750923118966,181.23723179649468,202.3362136492623,207.7181587853849,214.39570076241645,0,0,0,0,0,0,0,0,0,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Xin'an,Henan,Xin'an,,1088.4150166919637,773.6420567671678,863.7066618953069,886.6804132776564,915.1846409026986,0,0,0,0,0,0,0,0,0,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Xinmi,Henan,Xinmi,,231.5461749645961,164.5823112406376,183.74238758770932,188.62975515944515,194.69365980581645,0,0,0,0,0,0,0,0,0,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.5,Baofeng,Henan,Baofeng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.2,Jiaxian,Henan,Jiaxian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Jiyuan,Henan,Jiyuan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Lushan,Henan,Lushan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.8,Pingdingshan,Henan,Pingdingshan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.8,Ruzhou,Henan,Ruzhou,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Yuzhou,Henan,Yuzhou,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0,Dengfeng,Henan,Dengfeng,,102.40632855870518,115.54815688969074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,
,,,28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0.75,Gongyi,Henan,Gongyi,,133.13189897129476,150.21674701030926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,
,,,29,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0.8,Ruzhou,Henan,Ruzhou,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,
,,,29,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0,Yuzhou,Henan,Yuzhou,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,
,,,30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,1,Xin'an,Henan,Xin'an,,2605.8847975715817,1838.21624026252,527.3984383641266,528.4177455807614,529.3975757768814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,
,,,30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,0.5,Yichuan,Henan,Yichuan,,15.08857042841818,10.643622937479918,3.0537376358734805,3.0596396192384874,3.065313023118745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,
,,,31,Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,Jiaokou,Shanxi,Jiaokou,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,31,Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,Jincheng,Shanxi,Jincheng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,Gongyi,Henan,Gongyi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,
,,,32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,Xin'an,Henan,Xin'an,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,
