Metro Blend,Australia,quartz,0.044,0.044,0.044,0.044,0.044,0.04427173300000001,0.043840402,0.043393626000000005,0.04295798299999999,0.04269279100000001,0.042603061,0.042642595000000005,0.042788037,0.043026286999999996,0.04335001699999999,0.04375585,0.044243784999999994,,,,,,,,,,
Metro Blend,Australia,LT processing,2.7727758426602898,2.7727758426602898,2.7727758426602898,2.7727758426602898,2.7727758426602898,2.6889444249487906,2.691819749661743,2.6970057918563475,2.7060269917711737,2.7172682490155515,2.7288669514401422,2.740780941967441,2.752991787465131,2.765493345716372,2.778287857536982,2.7913849349416755,2.8048024844599344,,,,,,,,,,
Metro Blend,Australia,HT-B processing,2.5881688874284166,2.5881688874284166,2.5881688874284166,2.5881688874284166,2.5881688874284166,2.502720089776253,2.5062625285056286,2.512000586051746,2.521430732520737,2.53283012265018,2.544420969781965,2.556244841481134,2.5683285937159894,2.5806972903766088,2.5933794450955,2.6064111022457945,2.6198412783492047,,,,,,,,,,
Metro Blend,Australia,HT-D processing,2.908593104722162,2.908593104722162,2.908593104722162,2.908593104722162,2.908593104722162,2.792464297514762,2.795649566811212,2.801763112552421,2.812941891864056,2.827459788863159,2.842934473282518,2.859262341672921,2.8764055727023883,2.894362945817625,2.9131607313541297,2.932852143186897,2.9535236715890494,,,,,,,,,,
Metro Blend,Australia,LT processing,0.16463919494747048,0.16463919494747048,0.16463919494747048,0.16463919494747048,0.16463919494747048,0.1446429098394455,0.1462797143367018,0.1484684681098396,0.15150376088813355,0.15466872712987742,0.15753024532931684,0.16018187878242826,0.16267091616056345,0.1650245692623539,0.16725933797815612,0.16938503078611047,0.17140655118871873,,,,,,,,,,
Metro Blend,Australia,HT-B processing,0.11722022197108264,0.11722022197108264,0.11722022197108264,0.11722022197108264,0.11722022197108264,0.10962845301473964,0.10982434954525044,0.11021813227430963,0.11095037434448651,0.11190530217916383,0.11292154980338509,0.11398985807325365,0.11510637850323498,0.11627006602413983,0.11748182136455321,0.11874431195269074,0.1200622714140333,,,,,,,,,,
Metro Blend,Australia,HT-D processing,0.19192260504373143,0.19192260504373143,0.19192260504373143,0.19192260504373143,0.19192260504373143,0.17431728724972073,0.1748188184315335,0.17577072475747874,0.17749609385436704,0.17972122544155786,0.18208066685258176,0.1845600807951957,0.18715430599049449,0.18986326219569366,0.19269067107455615,0.19564396520839403,0.19873515434888947,,,,,,,,,,
Metro Blend,Australia,LT - Alumina,0.466696056,0.466696056,0.466696056,0.466696056,0.466696056,0.472983169,0.473153571,0.47314547100000004,0.47281443500000003,0.472152594,0.471310892,0.470337106,0.469255513,0.46807986199999996,0.466818014,0.465473853,0.46404794699999996,,,,,,,,,,
Metro Blend,Australia,HT-B - Alumina,0.517278422,0.517278422,0.517278422,0.517278422,0.517278422,0.525865828,0.525634438,0.525183978,0.524354274,0.523275213,0.522128277,0.520924315,0.519668524,0.518363048,0.517007857,0.515600912,0.514137805,,,,,,,,,,
Metro Blend,Australia,HT-D - Alumina,0.517278422,0.517278422,0.517278422,0.517278422,0.517278422,0.525865828,0.525634438,0.525183978,0.524354274,0.523275213,0.522128277,0.520924315,0.519668524,0.518363048,0.517007857,0.515600912,0.514137805,,,,,,,,,,
Metro Blend,Australia,LT - Silica,0.065974478,0.065974478,0.065974478,0.065974478,0.065974478,0.059768563,0.060380349,0.061165966,0.062208364,0.063245188,0.064141495,0.064937647,0.065654196,0.066303046,0.066891452,0.067423732,0.067902009,,,,,,,,,,
Metro Blend,Australia,HT-B - Silica,0.087974478,0.087974478,0.087974478,0.087974478,0.087974478,0.0819044295,0.08230055,0.082862779,0.0836873555,0.0845915835,0.0854430255,0.0862589445,0.0870482145,0.0878161895,0.0885664605,0.089301657,0.0900239015,,,,,,,,,,
Metro Blend,Australia,HT-D - Silica,0.109974478,0.109974478,0.109974478,0.109974478,0.109974478,0.104040296,0.104220751,0.104559592,0.105166347,0.105937979,0.106744556,0.107580242,0.108442233,0.109329333,0.110241469,0.111179582,0.112145794,,,,,,,,,,
Metro Blend,Australia,Moisture,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,2015 C1 mining cost,16.88,16.88,14.6103115,15.30349656,15.18351794,14.95438731,,,,,,,,,,,,6.8639,,,,,,,,,
Metro Blend,Australia,Duties and royalties,4.0,4.0,3.462159122,3.626420985,3.5979900330000003,3.543693676,,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,,,,,,,,,,
Metro Blend,Australia,2015 C1 transp. cost inc ship loading,3.0,3.0,2.733502998,2.818006451,2.744525187,2.6122589130000002,,6.76,,,,,,,,,,,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76
Metro Blend,Australia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103,,,,,,,,,,
Metro Blend,Australia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% mining cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,other mining cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,other royalties n duties cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% transport cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,other transport cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,mining cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new mining cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new mining cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new mining cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new mining cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new royalties n duties cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,transport cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,transport cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new transport cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new transport cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new transport cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,new transport cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Freight on Panamax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Freight on Capesize,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Freight for vessel choosen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Capital cost of mine (inc. all infrasturure for export),10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,,,,,,,,,,
Metro Blend,Australia,Life of mine,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,
Metro Blend,Australia,constructiuon period for mine & infrastructure,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Metro Blend,Australia,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,,,,,
Metro Blend,Australia,Sustaining Capital Charge ($/t),0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,,,,,,,,,,
Metro Blend,Australia,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Metro Blend,Australia,capital payback charge - before adjustment,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,,,,,,,,,,
Metro Blend,Australia,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Metro Blend,Australia,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,
Metro Blend,Australia,C1 Cost FOB,23.88,23.88,20.80597362,21.747923995999997,21.52603316,21.110339899,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Cost FOB inc. Sustaining Capital,24.2025,24.2025,21.12847362,22.070423996,21.848533160000002,21.432839899,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Full cost FOB,24.2025,24.2025,21.12847362,22.070423996,21.848533160000002,21.432839899,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Margin C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Margin at Full Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,,,,,,,,,,
Metro Blend,Australia,Alumina (%),0.466696056,0.466696056,0.466696056,0.466696056,0.466696056,0.472983169,0.473153571,0.47314547100000004,0.47281443500000003,0.472152594,0.471310892,0.470337106,0.469255513,0.46807986199999996,0.466818014,0.465473853,0.46404794699999996,,,,,,,,,,
Metro Blend,Australia,Silica (%),0.065974478,0.065974478,0.065974478,0.065974478,0.065974478,0.059768563,0.060380349,0.061165966,0.062208364,0.063245188,0.064141495,0.064937647,0.065654196,0.066303046,0.066891452,0.067423732,0.067902009,,,,,,,,,,
Metro Blend,Australia,Moisture (%),0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,,,,,,,,,,
Metro Blend,Australia,t/t (dry bauxite/alumina),2.7727758426602898,2.7727758426602898,2.7727758426602898,2.7727758426602898,2.7727758426602898,2.6889444249487906,2.691819749661743,2.6970057918563475,2.7060269917711737,2.7172682490155515,2.7288669514401422,2.740780941967441,2.752991787465131,2.765493345716372,2.778287857536982,2.7913849349416755,2.8048024844599344,,,,,,,,,,
Metro Blend,Australia,2015 C1 mining cost ($/t),16.88,16.88,14.6103115,15.30349656,15.18351794,14.95438731,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,2015 C1 transp. cost ($/t),3.0,3.0,2.733502998,2.818006451,2.744525187,2.6122589130000002,,6.76,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,C1 Cost CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,C1 Cost FOB,23.88,23.88,20.80597362,21.747923995999997,21.52603316,21.110339899,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Capital Payback ($/t)Charge,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,,,,,,,,,,
Metro Blend,Australia,Sustaining Capital Charge ($/t),0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,,,,,,,,,,
Metro Blend,Australia,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Full Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Mine Gate,16.88,16.88,14.6103115,15.30349656,15.18351794,14.95438731,,,,,,,,,,,,,,,,,,,,,
Metro Blend,Australia,Other processing penalties (US$/t_bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
