Ref. No.,Refinery,Ownership,Alumina Produced,Digestion Technology Code,,Bauxite 1 Aa Grade (Reacting),Bauxite 1 A/S ratio (Reacting),Bauxite 1 Moisture,Bauxite 1 Mining-Dressing (FAW) Cost,Bauxite 1 Transport distance,,Bauxite 2 Aa Grade (Reacting),Bauxite 2 A/S ratio (Reacting),Bauxite 2 Moisture,Bauxite 2 Transport distance,,Bauxite 3 Transport distance,Bauxite 3 Transport fee,Domestic Self Supply,Domestic Purchased,,Custom Multiplier BAR,Custom Multiplier Caustic,,For Check Bar,For Check Caustic
50.2,Weiqiao - Binzhou H-B,Private,SGA,5,,0.58,6,0.05,114,232.5,,0.58,6,0.05,113.75,,150,,0,0,,1,1,,0,0
51.1,Weiqiao-Wudi-Zhanhua L-B,Private,SGA,4,,0.58,6,0.05,114,232.5,,0.58,6,0.05,113.75,,120,,0,0,,1,1,,0,0
51.2,Weiqiao-Wudi-Zhanhua H-B,Private,SGA,5,,0.545671291,3.172245213,0.05,114,232.5,,0.545671291,3.172245213,0.05,113.75,,120,,0,0,,1,1,,0,0
52,Aokaida,Private,SGA,4,,0.6,5,0.05,240,137.5,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
53,Chalco Huaxing,SOE,SGA,4,,0.6,5.5,0.05,100,30,,0.6,4.5,0.05,100,,12.5,,0,0,,1,1,,0,0
54.1,Chalco Shanxi,SOE,SGA,4,,0.6,5,0.05,240,30,,0.6,5,0.05,150,,12.5,,0,0,,1,1,,0,0
54.2,Chalco Shanxi import,SOE,SGA,4,,0.64,5,0.05,240,30,,0.64,5,0.05,150,,,,0,0,,1,1,,0,0
55.1,SPIC Shanxi,SOE,SGA,4,,0.56,4.5,0.05,150,30,,0.56,4.8,0.05,120,,12.5,,0,0,,1,1,,0,0
55.2,SPIC Shanxi import,SOE,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
56.1,Dongxu Tianyuan,Private,SGA,4,,0.6,5,0.05,140,50,,0.6,5,0.05,120,,12.5,,0,0,,1,1,,0,0
