Shanxi,index,month,Date,Shandong,Henan
2100,99,2020 01,01-03-2020,1900,1900
2100,100,2020 01,01-10-2020,1850,1900
2100,101,2020 01,01-17-2020,1850,1900
2100,102,2020 01,01-24-2020,1850,1900
2100,103,2020 02,01-31-2020,1850,1900
2075,104,2020 02,02-07-2020,1850,1900
2075,105,2020 02,02-14-2020,1850,1900
2075,106,2020 02,02-21-2020,1850,1900
1800,107,2020 03,02-28-2020,1850,1900
1800,108,2020 03,03-06-2020,1850,1800
1800,109,2020 03,03-13-2020,1750,1800
1800,110,2020 03,03-20-2020,1700,1800
1800,111,2020 03,03-27-2020,1700,1800
1800,112,2020 04,04-03-2020,1700,1800
1700,113,2020 04,04-10-2020,1650,1700
1700,114,2020 04,04-17-2020,1650,1700
1700,115,2020 04,04-24-2020,1600,1700
1500,116,2020 05,05-01-2020,1550,1550
1500,117,2020 05,05-08-2020,1500,1550
1500,118,2020 05,05-15-2020,1500,1550
1500,119,2020 05,05-22-2020,1500,1550
1500,120,2020 05,05-29-2020,1500,1550
1630,121,2020 06,06-05-2020,1500,1550
1630,122,2020 06,06-12-2020,1500,1550
1630,123,2020 06,06-19-2020,1500,1550
1630,124,2020 06,06-26-2020,1500,1550
1630,125,2020 07,07-03-2020,1500,1550
1630,126,2020 07,07-10-2020,1500,1750
1630,127,2020 07,07-17-2020,1500,1750
1630,128,2020 07,07-24-2020,1500,1750
1590,129,2020 08,07-31-2020,1480,1750
1590,130,2020 08,08-07-2020,1480,1700
1590,131,2020 08,08-14-2020,1480,1700
