One listing per Mine Only,Forecast Supply tonnes,Cash FOB,Sustaining Capital,Capital,Cash + Sustain Capital FOB,Full FOB,Freight,Cash Cost CFR,Cash + Sustaining Capital CFR,Full Cost CFR,ViU Cash Cost CFR,ViU Cash Cost + Sustaining Capital CFR,ViU Full Cost CFR,Cash Price,Full Price,Cash-Cash Margin,Full-Full Margin,Moisture,Full Supply Tonnes Mt
MRN,0.0,19.123632435024604,0.9041666666666668,0.9929950579508624,20.027799101691272,21.020794159642122,28.21255624221328,47.336188677237885,48.240355343904554,49.233350401855404,43.25531904760915,44.08567619046628,44.99761042735992,8.0,54.95415059183168,-39.336188677237885,5.7208001899762735,0.07,0.0
Other,0.500000000000001,22.36205801966878,1.2255735031809107,2.217110057256372,23.58763152284969,25.804741580106057,17.173028762903446,39.53508678257223,40.76066028575314,42.97777034300952,40.568417549366536,41.90138234933082,44.2613573078407,8.0,49.984218432410444,-31.53508678257223,7.0064480894009264,0.1075931818181818,0.5
Rondon do Para,0.0,41.08972850189547,2.1633333333333336,2.5975685024806308,43.253061835228806,45.850630337709426,30.151771051863843,71.24149955375931,73.40483288709264,76.00240138957328,72.7759591436388,75.0504918539192,77.78158023269553,8.0,49.81814728079524,-63.24149955375931,-26.184254108778042,0.13,0.0
Rundi,0.0,28.371290021748727,1.875,1.8587827410001123,30.246290021748727,32.105072762748826,18.738580253472854,47.109870275221574,48.984870275221574,50.8436530162217,44.34271300421444,46.42604633754777,48.491360494214575,8.0,52.42769443960433,-39.109870275221574,1.5840414233826294,0.1,10.0
SMB Dabiss S,0.0,31.11189956938875,1.40625,1.1313194113026692,32.518149569388754,33.649468980691424,18.738580253472854,49.85047982286161,51.25672982286161,52.38804923416428,47.38783472381446,48.95033472381446,50.20735629192854,8.0,52.42769443960433,-41.85047982286161,0.03964520544005268,0.1,18.3
SMB Kaboye,0.0,27.044117834460053,1.40625,1.1313194113026692,28.450367834460053,29.58168724576273,18.738580253472854,45.782698087932914,47.188948087932914,48.320267499235584,45.995546930236976,47.63921576140583,48.96153715124012,8.0,49.423822403786104,-37.782698087932914,1.1035549045505206,0.1,0.0
SMB Malapouya-Boké,0.0,25.599227085139688,1.40625,1.1313194113026692,27.005477085139688,28.136796496442365,18.738580253472854,44.33780733861255,45.74405733861255,46.87537674991522,41.262643074648864,42.825143074648864,44.082164642762926,8.0,52.42769443960432,-36.33780733861255,5.552317689689104,0.1,0.0
SMB Santou-Houda,35.75665201383341,23.07405034594429,5.15625,4.148171174776453,28.23030034594429,32.37847152072075,18.738580253472854,41.81263059941715,46.96888059941715,51.11705177419361,35.831356769130764,41.29091559266018,45.68309683654115,8.0,55.43156647542251,-33.81263059941715,4.3145147012288945,0.1,36.0
Solomon Islands,1.5999999999999972,24.168784703525915,1.875,2.811454380832874,26.043784703525915,28.855239084358786,13.417081613191636,37.58586631671756,39.46086631671756,42.27232069755043,29.82389369271195,31.62101829335091,34.31570300341437,8.0,58.89857136672517,-29.585866316717564,16.626250669174745,0.15,1.6
SPIC,7.500000000000003,29.67333117723629,1.3180357142857142,2.1968905628311224,30.991366891522002,33.18825745435313,18.738580253472854,48.411911430709154,49.72994714499487,51.926837707825975,46.984009113241186,48.497060315865106,51.01900101299266,8.0,51.25817761632248,-40.411911430709154,-0.6686600915034973,0.1,7.5
Vietnam,1.000000000000001,17.109833781042823,1.875,1.894985245595142,18.984833781042823,20.879819026637964,8.060961349541554,25.170795130584374,27.045795130584374,28.940780376179518,20.484872702202864,22.13889852754951,23.810554279477607,8.0,58.91407171880765,-17.170795130584374,29.97329134262813,0.05,1.0
Weipa,17.200000000000006,12.54465847260832,1.085,0.0,13.62965847260832,13.629658472608321,9.790146965395492,22.33480543800381,23.41980543800381,23.419805438003806,33.2820603579096,34.38857593864615,34.38857593864615,8.0,38.97419209157837,-14.334805438003809,15.55438665357456,0.13,17.2
Weiqiao Self Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan,0.0,24.661216896448913,0.9142241176394736,2.0000000000000004,25.575441014088387,27.57544101408839,9.5437039968809,34.204920893329806,35.11914501096928,37.119145010969284,32.706980783762624,33.641982722257545,35.68743726771209,8.0,51.359470502286165,-26.204920893329806,14.24032549131688,0.14,0.0
