as,shanxi1,shanxi2,henan1,henan2,guizhou1,guizhou2,guangxi1,guangxi2,shandog l1,shandog l2,shanxi l1,shanxi l2,shanxi s1,shanxi s2,henan l1,henan l2,henan s1,henan s2,guangxi l1,guangxi l2,guangxi s1,guangxi s2,guizhou s1,guizhou s2
43553,450,580,380,550,320,370,330,330,2350,2550,2700,2800,3000,3300,2700,2800,3050,3250,2800,3000,3100,3300,3150,3400
43560,450,580,380,550,320,370,330,330,2350,2550,2700,2800,3000,3300,2700,2800,3050,3250,2800,3000,3100,3300,3150,3400
43567,450,580,380,550,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43574,450,580,380,550,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43581,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43588,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43595,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43602,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43609,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2800,3100,2500,2600,2850,3050,2650,2850,2900,3100,2950,3200
43616,450,560,380,500,320,370,330,330,2250,2450,2600,2700,2600,2900,2500,2600,2650,2850,2650,2850,2700,2900,2700,3000
43623,450,560,400,550,320,370,340,380,2250,2450,2600,2700,2600,2900,2500,2600,2650,2850,2650,2850,2700,2900,2700,3000
43630,450,560,400,550,320,370,340,380,2250,2450,2400,2500,2400,2700,2200,2300,2350,2550,2450,2650,2500,2700,2500,2800
43637,450,560,400,550,320,370,340,380,2250,2450,2400,2500,2400,2700,2200,2300,2350,2550,2450,2650,2500,2700,2500,2800
43644,450,560,400,550,350,400,340,380,2250,2450,2400,2500,2400,2700,2200,2300,2500,2700,2450,2650,2650,2850,2500,2800
43651,450,560,400,550,350,400,340,380,2250,2450,2400,2500,2400,2700,2300,2400,2500,2700,2450,2650,2650,2850,2500,2800
43658,450,560,400,550,350,400,340,380,2250,2450,2400,2500,2400,2700,2300,2400,2500,2700,2450,2650,2650,2850,2500,2800
43665,450,560,400,550,350,400,340,380,2250,2450,2400,2500,2400,2700,2300,2400,2500,2700,2450,2650,2650,2850,2500,2800
43672,450,560,400,530,350,400,340,380,2250,2450,2400,2500,2400,2700,2300,2400,2500,2700,2450,2650,2650,2850,2500,2800
43679,450,560,400,530,350,400,340,380,2250,2450,2200,2300,2300,2600,2300,2400,2400,2600,2450,2650,2550,2750,2500,2800
43686,450,560,400,530,350,400,340,380,2250,2450,2200,2300,2300,2600,2200,2300,2400,2600,2450,2650,2550,2750,2400,2700
43693,450,560,400,530,350,400,340,380,2250,2450,2200,2300,2300,2600,2200,2300,2400,2600,2450,2650,2550,2750,2400,2700
43700,450,560,400,530,350,400,340,380,2250,2450,2200,2300,2300,2600,2250,2350,2400,2600,2450,2650,2550,2750,2400,2700
43707,450,540,370,500,350,400,340,380,2250,2450,2200,2300,2300,2600,2250,2350,2400,2600,2450,2650,2550,2750,2400,2700
43714,450,540,370,500,350,400,340,380,2250,2450,2100,2200,2400,2700,2250,2350,2400,2600,2450,2650,2550,2750,2400,2700
43721,450,540,370,500,350,400,340,380,2250,2450,2100,2200,2400,2700,2250,2350,2400,2600,2450,2650,2600,2800,2400,2700
43728,450,540,370,500,350,400,340,380,2400,2600,2100,2200,2500,2800,2250,2350,2500,2700,2450,2650,2700,2900,2550,2850
43735,450,540,370,500,350,400,340,380,2400,2600,2300,2400,2600,2900,2450,2550,2600,2800,2450,2650,2800,3000,2650,2950
43742,450,540,370,500,350,400,340,380,2400,2600,2300,2400,2600,2900,2450,2550,2600,2800,2450,2650,2800,3000,2650,2950
43749,470,560,370,500,350,400,340,380,2400,2600,2300,2400,2600,2900,2500,2600,2600,2800,2450,2650,2800,3000,2650,2950
43756,470,560,370,500,350,400,340,380,2400,2600,2300,2400,2600,2900,2500,2600,2600,2800,2450,2650,2800,3000,2650,2950
43763,470,560,370,500,350,400,340,380,2400,2600,2300,2400,2600,2800,2500,2600,2600,2700,2450,2650,2800,2900,2650,2850
43770,470,560,370,500,350,400,340,380,2400,2500,2200,2300,2600,2800,2400,2500,2600,2700,2450,2650,2800,2900,2650,2850
43777,470,560,370,500,350,400,340,380,2200,2300,2200,2300,2500,2700,2200,2300,2500,2600,2300,2500,2650,2750,2450,2650
43784,470,560,370,500,350,400,340,380,2180,2280,2200,2300,2400,2600,2200,2300,2400,2500,2300,2500,2600,2700,2450,2650
43791,470,560,370,500,350,400,340,380,2150,2250,2200,2300,2400,2600,2200,2300,2400,2500,2300,2500,2600,2700,2450,2650
43798,470,560,370,500,350,400,340,380,2150,2250,2200,2300,2400,2600,2200,2300,2400,2500,2300,2500,2600,2700,2450,2650
43805,470,560,370,500,350,400,340,380,2150,2250,2100,2200,2400,2600,2000,2100,2400,2500,2300,2500,2600,2700,2450,2650
43812,470,560,370,500,350,400,340,380,2050,2150,2100,2200,2400,2600,2000,2100,2400,2500,2300,2500,2600,2700,2450,2650
43819,450,540,360,490,350,400,340,380,1850,1950,2100,2200,2400,2600,2000,2100,2400,2500,2300,2500,2600,2700,2450,2650
43826,450,540,360,490,350,400,340,380,1850,1950,2100,2200,2400,2600,2000,2100,2400,2500,2300,2500,2600,2700,2450,2650
43833,450,540,360,490,350,400,340,380,1850,1950,2050,2150,2400,2600,1850,1950,2400,2500,2300,2500,2600,2700,2450,2650
43840,450,540,360,490,350,400,340,380,1800,1900,2050,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43847,450,540,360,490,350,400,340,380,1800,1900,2050,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43854,450,540,360,490,350,400,340,380,1800,1900,2050,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43861,450,540,360,490,350,400,340,380,1800,1900,2050,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43868,450,540,360,490,350,400,340,380,1800,1900,2000,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43875,450,540,360,490,350,400,340,380,1800,1900,2000,2150,2250,2450,1850,1950,2300,2400,2300,2500,2450,2550,2250,2450
43882,450,540,360,490,350,400,340,380,1800,1900,2000,2150,2100,2250,1850,1950,2150,2250,2300,2500,2350,2450,2250,2450
43889,450,540,360,490,350,400,340,380,1800,1900,1750,1850,2100,2250,1850,1950,2150,2250,2300,2500,2350,2450,2250,2450
43896,450,540,360,490,350,400,340,380,1800,1900,1750,1850,2100,2350,1750,1850,2150,2350,2300,2500,2400,2500,2300,2500
43903,450,540,360,490,350,400,340,380,1700,1800,1750,1850,2100,2350,1750,1850,2150,2350,2300,2500,2400,2500,2300,2500
43910,450,540,360,490,350,400,340,380,1650,1750,1750,1850,2100,2350,1750,1850,2150,2350,2300,2500,2400,2500,2300,2500
43917,450,540,360,490,350,400,340,380,1650,1750,1750,1850,2100,2200,1750,1850,2150,2250,2300,2500,2300,2400,2200,2300
43924,410,500,320,450,350,400,340,380,1650,1750,1750,1850,2000,2100,1750,1850,2100,2200,2300,2500,2250,2400,2150,2300
43931,410,500,320,450,350,400,340,380,1600,1700,1650,1750,1900,2000,1650,1750,2000,2100,2300,2500,2200,2350,2100,2250
