province_id,county_id,Mine_id,Status_id,TonnesProduced,GradeAl2O3,AS,MiningScale,Mineautolevel,MineTypeOpenPit,MineTypeUnderground,DepthOpenPit,DepthUnderground,StrippingRatioOpenPit,StrippingRatioUnderground,Dressingautolevel,DistanceOpenPit,DistanceUnderground,LocalTaxandfees,Distance,DressingRatio,empty
province_7,county_72,Mine_36,status_1,738.6090984,0.651006461,5.453721254,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
province_7,county_73,Mine_36,status_1,912.5662236,0.6,6.8,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
province_7,county_74,Mine_39,status_2,0,0.678,9.47,1,2,1,0,80.09178842,0,32.03671537,0,2,10,0,0,0,0,0
province_7,county_75,Mine_36,status_1,1331.810899,0.631,6.731056564,1,2,0,1,65.09178842,215.0917884,0,0.9,2,0,0,21,0,0,0
province_7,county_76,Mine_36,status_1,338.5833795,0.632531959,4.359845958,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
province_7,county_77,Mine_36,status_1,3262.317373,0.660017595,6.77849563,1,2,0,1,0,175.0917884,0,1.9,2,0,20,21,0,0,0
province_7,county_78,Mine_36,status_2,3270.719242,0.649888828,7.48,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,0,0,0,0
province_7,county_79,Mine_36,status_1,2489.302418,0.588805442,4.065729431,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
province_7,county_80,Mine_37,status_2,98.56994405,0.584000868,5.036151015,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,0,0,0,0
province_7,county_15,Mine_37,status_2,4768.553886,0.622970004,4.868164381,1,2,0.5,0.5,80.09178842,165.0917884,16.01835768,0.6,2,10,10,0,0,0,0
province_7,county_81,Mine_36,status_1,707.1094392,0.596445692,4.142143723,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
province_7,county_82,Mine_36,status_1,84.32780242,0.618686043,6.778804873,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
province_7,county_83,Mine_36,status_1,164.9891787,0.6083,6.48,1,2,1,0,80.09178842,0,26.69726281,0,2,10,0,21,0,0,0
province_7,county_84,Mine_37,status_1,1250.656325,0.614905332,4.66057162,1,2,1,0,80.09178842,0,16.01835768,0,2,5,0,21,0,0,0
province_7,county_85,Mine_36,status_1,293.6646088,0.643263342,4.023525902,1,2,0.5,0.5,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
province_7,county_9,Mine_37,status_1,9990.126266,0.649488736,5.34492074,2,2,1,0,95.09178842,0,13.31285038,0,2,5,0,21,0,0,0
province_7,county_8,Mine_37,status_1,1830.818012,0.631827203,8.284987247,1,2,0,1,0,265.0917884,0,2,2,0,20,21,0,0,0
province_7,county_86,Mine_36,status_1,992.2777967,0.622,4.23,1,2,1,0,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
province_7,county_87,Mine_36,status_1,1240.344864,0.581109133,4.554409418,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,21,0,0,0
province_7,county_88,Mine_37,status_2,3136.840421,0.632158931,4.566993801,1,2,1,0,80.09178842,0,32.03671537,0,2,5,0,0,0,0,0
province_7,county_89,Mine_36,status_1,932.2685994,0.6,4.8,1,2,0.5,0.5,95.09178842,145.0917884,15.8486314,1,2,0,0,21,0,0,0
province_7,county_90,Mine_36,status_1,385.0867949,0.657266838,6.047244753,1,2,1,0,85.09178842,0,21.2729471,0,2,0,0,21,0,0,0
province_3,county_91,Mine_40,status_2,0,0.55,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
province_8,county_20,Mine_37,status_1,418.0761226,0.53,7,3,2,1,0,38.21640946,0,38.21640946,0,2,15,0,28,120,0,0
